Time, 10221855,
unmet demands (pred. error), [0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 0, 0, 4, 3, 2, 7, 2, 1, 12, 3, 0, 4, 1, 16, 5, 1, 2, 1, 5, 1, 10, 3, 0, 0, 0, 0],
unmet demands (repositioning), 33,
zero vehicle time, 1700,
full port time, 2790,
total travel distance, 293,
